"u1299497da9c41cdb78cbc7f362e69d72|1511881898909" 
"u69527022c36a04b8333cb91aa4acf4b1|1511881898891" 
"u69527022c36a04b8333cb91aa4acf4b1|1511881899430" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511881904463" 
"ucd5c04d9c914398d05bfb59125422c37|1511881921073" 
"u1299497da9c41cdb78cbc7f362e69d72|1511881923268" 
"ucd5c04d9c914398d05bfb59125422c37|1511881923634" 
"uefbda6e7d4437e6c859a8ac937b72633|1511881923870" 
"u1299497da9c41cdb78cbc7f362e69d72|1511881926172" 
"uefbda6e7d4437e6c859a8ac937b72633|1511881926564" 
"ucd5c04d9c914398d05bfb59125422c37|1511881926614" 
"uefbda6e7d4437e6c859a8ac937b72633|1511881926751" 
"u69527022c36a04b8333cb91aa4acf4b1|1511881944825" 
"u69527022c36a04b8333cb91aa4acf4b1|1511881945745" 
"uebdb3fb7ef5e735d1ad0b09ac3a547ff|1511881950599" 
"u1299497da9c41cdb78cbc7f362e69d72|1511881974901" 
"ucd5c04d9c914398d05bfb59125422c37|1511881975254" 
"uc455a5966d655d88731ec5d4a29ddc34|1511881980972" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511881986229" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511881988444" 
"u1299497da9c41cdb78cbc7f362e69d72|1511881997813" 
"ucd5c04d9c914398d05bfb59125422c37|1511881998191" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511881998228" 
"u1299497da9c41cdb78cbc7f362e69d72|1511881999718" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511882000044" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882000137" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882011828" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511882012117" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882012153" 
"ucd5c04d9c914398d05bfb59125422c37|1511882030080" 
"uebdb3fb7ef5e735d1ad0b09ac3a547ff|1511882050756" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882054335" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882054861" 
"uebdb3fb7ef5e735d1ad0b09ac3a547ff|1511882054956" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882055515" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882057606" 
"ucd5c04d9c914398d05bfb59125422c37|1511882065482" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882070034" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882070325" 
"ucd5c04d9c914398d05bfb59125422c37|1511882070407" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882070622" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511882079547" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882092616" 
"ucd5c04d9c914398d05bfb59125422c37|1511882092980" 
"ucd5c04d9c914398d05bfb59125422c37|1511882095214" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511882095325" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882109341" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882119405" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882169494" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882169885" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882170122" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882181450" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882181706" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882181967" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882183901" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882184328" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882187932" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882203917" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882232145" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882232586" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882232603" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882238379" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882238785" 
